Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Citará,Recursos naturales,CI2-2006-1,Archivado,Jurídica,Privada,Andes,"INVESTIGACIÓN CIENTÍFICA CON DIVERSIDAD BIOLÓGICA, PARA DETERMINAR LA VIABILIDAD DE PROYECTAR OBRAS PARA UN FUTURO APROVECHAMIENTO DE LA FUERZA HIDRÁULICA DE LAS AGUAS DE LA CUENCA DE LOS RÍOS TAPARTÓ, GUADUALEJO Y PEDRAL (ANDES-HISPANIA)",130CI-3991,Por la cual se concede un permiso de estudio,12/27/2006 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-27,Archivado,Natural,-No aplica-,Valparaíso,EVALUACION DEL POTENCIAL HIDROELECTRICO DE LAS AREAS MEDIA-BAJA Y BAJA DE LA QUEBRADA VEQUEDO,160-1409-20023,Por la cual se resuelve un recurso de reposición,09/26/2014 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-4,Archivado,Jurídica,Pública,Vegachí,RIO SAN BARTOLOME POLIGONO 4,160ZF-1507-7201,Por la cual se resuelve un recurso de reposición,07/17/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-1,Archivado,Jurídica,Privada,Medellín,"CARACTERIZACIÓN DE LAOBLACION DE NUTRIAS Y SU HÁBITAT, PRESENTE EN LOS BLOQUES DE EXPLOTACION CORRESPONDIENTES AL TITULO MINERO 13264 Y PROPUESTAS DE MANEJO",160-RES2204-2270,Por la cual se adopta una decisión,04/28/2022 12:00:00 AM
Citará,Recursos naturales,CI2-2010-11,Archivado,Natural,-No aplica-,Concordia,PROYECTO HIDROELÉCTRICO LA MESETA,130CI-1111-7891,Por la cual se adopta una decisión,11/08/2011 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-12,Archivado,Jurídica,Privada,Remedios,DESARROLLO HIDROELÉCTRICO EL MANÍ,130ZF-1301-5697,Por la cual se adopta una decisión,01/11/2013 12:00:00 AM
Citará,Recursos naturales,CI2-2024-8,Activo,Natural,-No aplica-,Andes,PCH EL MOLINA,,,
Hevéxicos,Recursos naturales,HX2-2012-5,Archivado,Natural,-No aplica-,Ebéjico,PROYECTO HIDROELECTRICO PCH LA CLARA DE I A V,160HX-RES1805-2982,Por la cual se impone una medida preventiva,05/31/2018 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-17,Archivado,Jurídica,Privada,Caldas,RECOLECCIÓN CON FINES DE ELABORACIÓN DE ESTUDIOS AMBIENTALES,160-RES1705-2461,Por la cual se archiva un expediente,05/19/2017 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2017-5,Archivado,Jurídica,Privada,Yarumal,PCH,160TH-RES1710-5597,Por la cual se termina anticipadamente un trámite o permiso,10/13/2017 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2017-27,Activo,Jurídica,Privada,Zaragoza,LICENCIA AMBIENTAL,160-RES2202-657,Por la cual se adopta una decisión,02/08/2022 12:00:00 AM
Citará,Recursos naturales,CI2-2006-2,Archivado,,,Salgar,PERMISO DE ESTUDIO POTENCIAL HIDROELECTRICO RIO BARROSO,130CI-5751,Por la cual se adopta una decisión,09/07/2009 12:00:00 AM
Citará,Recursos naturales,CI2-2008-1,Archivado,,,Salgar,,,,
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2010-8,Archivado,Jurídica,Privada,Medellín,CARACTERIZACIÓN DE LOS BOSQUES ALEDAÑOS AL ÁREA CONTIGUA A LA SIEMBRA EN LOS PREDIOS EL ASTILLERO Y EL MORAL,160-1507-21181,Por la cual se archiva un expediente,07/31/2015 12:00:00 AM
Citará,Recursos naturales,CI2-2014-12,Archivado,Jurídica,Privada,Andes,PCH SAN FRANCISCO,130CI-1408-10945,Por la cual se inadmite una solicitud,08/05/2014 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-1,Archivado,Natural,-No aplica-,Vegachí,GENERACIÓN HIDROELÉCTRICA,130ZF-1411-6821,Por la cual se otorga un permiso para el estudio de recursos naturales,11/12/2014 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2008-1,Archivado,,,Liborina,ESTUDIO DE PREFACTIBILIDAD Y FACTIBILIDAD PARA GENERACION DE ENERGÍA ELÉCTRICA A PARTIR DEL CAUDAL DE LA QUEBRADA JUAN GARCÍA ENTRE LAS VEREDAS LA ALDEA Y MORRO JURISDICCION MUNICPIO DE LIBORINA,130HX-4489,Por la cual se niega un permiso de estudio,11/23/2009 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,CAD2-2015-1,Archivado,,,Heliconia,"DIAGNÓSTICO, FORMULACIÓN Y ACTUALIZACIÓN DE LOS COMPONENTES DE FLORA, FAUNA E HIDROBIOLÓGICO PARA EL PLAN DE MANEJO AMBIENTAL EN EL CENTRO INDUSTRIAL DE SUR-CIS-EL GUACAL",160-1512-21607,Por la cual se prorroga un permiso,12/03/2015 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-4,Archivado,Jurídica,Privada,Liborina,estudio de recurso hidrico de la juan garcía,130HX-1210-6079,Por la cual se otorga un permiso para el estudio de recursos naturales,10/30/2012 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2017-48,Archivado,,,Amalfi,HIDROELECTRICA PCH,160ZF-RES1810-5524,Por la cual se archiva un expediente,10/09/2018 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2012-3,Archivado,Natural,-No aplica-,Buriticá,PROYECTO PEQUEÑA CENTRAL HIDROELECTRICA (PCH) LA CLARA I,130HX-1309-6777,Por la cual se otorga un permiso para el estudio de recursos naturales,09/26/2013 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,SR2-2018-15,Archivado,Natural,-No aplica-,Caldas,INVESTIGACION CIENTIFICA,160-RES2203-1122,Por la cual se adopta una decisión,03/01/2022 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2012-6,Archivado,Natural,-No aplica-,Buriticá,PROYECTO PEQUEÑA CENTRAL HIDROELECTRICA (PCH) SAN POLO,160HX-1605-8268,Por la cual se acepta un desistimiento tácito,05/04/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2011-13,Archivado,Jurídica,Privada,Anorí,PROYECTO HIDROELÉCTRICO EL PAPAYO,130TH-1201-8738,Por la cual se adopta una decisión,01/18/2012 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2015-2,Archivado,Natural,-No aplica-,Vegachí,PCH LA ISLA,160ZF-RES1812-7388,Por la cual se archiva un expediente,12/27/2018 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2018-29,Archivado,Natural,-No aplica-,Caicedo,PCH LA NOQUE 2,160HX-RES1809-5387,Por la cual se niega un permiso para el estudio de recursos naturales,09/28/2018 12:00:00 AM
Citará,Recursos naturales,CI2-2010-6,Archivado,Jurídica,Pública,Jardín,proyecto hidroelectrico Rio Claro,130CI-1107-7600,Por la cual se prorroga un permiso,07/28/2011 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-20,Archivado,Jurídica,Privada,Briceño,RECOLECCIÓN DE ESPECÍMENES SILVESTRES DE LA BIODIVERSIDAD BIOLÓGICA CON FINES DE ELABORACIÓN DE ESTUDIOS AMBIENTALES PARA EL PROYECTO CONEXION BRICEÑO VIA PUERTO VALDIVIA PRESA,160-RES2209-5445,Por la cual se archiva un expediente,09/20/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-38,Activo,Jurídica,Pública,Amalfi,MONITOREO DE LA ICTIOFAUNA DEL CAÑON DEL RIO PORCEEN EL ÁREA DE INFLUENCIA DE LOS EMBALSES DE PORCE II Y PORCE III,160-1601-21805,Por la cual se adopta una decisión,01/26/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-17,Archivado,,,Yarumal,Pequeña Central Hidroelèctrica San Isidro aprovechando Aguas de la Quebrada el Rosario.,130TH-8012,Por la cual se niega un permiso de estudio,11/25/2010 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-1,Archivado,Natural,-No aplica-,Remedios,HIDROELECTRICA LA ALBANIA,160ZF-1508-7250,Por la cual se traspasa un permiso,08/28/2015 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-1,Archivado,Natural,-No aplica-,Remedios,HIDROELECTRICA LA ALBANIA,160ZF-1508-7250,Por la cual se traspasa un permiso,08/28/2015 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2012-1,Archivado,Natural,-No aplica-,Remedios,HIDROELECTRICA LA ALBANIA,160ZF-1508-7250,Por la cual se traspasa un permiso,08/28/2015 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2019-10,Archivado,Jurídica,Privada,Heliconia,PERMISO DE ESTUDIO PARA APROVECHAMIENTO HIDROELÉCTRICO,160AS-RES1910-5284,Por la cual se niega un permiso para el estudio de recursos naturales,10/02/2019 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-2,Archivado,Natural,-No aplica-,Amalfi,GENERACIÓN HIDROELÉCTRICA,160ZF-RES1810-5525,Por la cual se archiva un expediente,10/09/2018 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-18,Archivado,Jurídica,Privada,Caldas,Monitoreo de Aves y Mamíferos,160-1412-20405,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/11/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-18,Archivado,Jurídica,Privada,Caldas,Monitoreo de Aves y Mamíferos,160-1412-20405,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/11/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-18,Archivado,Jurídica,Privada,Caldas,Monitoreo de Aves y Mamíferos,160-1412-20405,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/11/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-18,Archivado,Jurídica,Privada,Caldas,Monitoreo de Aves y Mamíferos,160-1412-20405,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/11/2014 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-3,Archivado,Jurídica,Privada,Anzá,ESTUDIO DEL RECURSO HIDRICO,130HX-4868,Por la cual se otorga un permiso de estudio,07/29/2010 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-3,Archivado,Jurídica,Privada,Anzá,ESTUDIO DEL RECURSO HIDRICO,130HX-4868,Por la cual se otorga un permiso de estudio,07/29/2010 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2010-3,Archivado,Jurídica,Privada,Anzá,ESTUDIO DEL RECURSO HIDRICO,130HX-4868,Por la cual se otorga un permiso de estudio,07/29/2010 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Recursos naturales,CA2-2018-42,Archivado,Jurídica,Privada,Fredonia,Elaboración de estudio ambiental,,,
Aburrá Sur,Recursos naturales,AS2-2015-2,Archivado,Jurídica,Privada,Titiribí,promotoras de centarles hidroelectricas rio amaga,160AS-RES1803-1449,Por la cual se otorga un permiso para el estudio de recursos naturales,03/22/2018 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-6,Archivado,Jurídica,Privada,El Bagre,METODOLOGÍAS PARA LA RECOLECCIÓN DE ESPECÍMENES Y MUESTRAS DE LA BIODIVERSIDAD,160-1509-21362,Por la cual se niega un permiso,09/25/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2011-19,Archivado,Jurídica,Privada,El Bagre,"REALIZAR LA CARACTERIZACIÓN DE FLORA, FAUNA E ICTIO FAUNA PARA EL DIAGNÓSTICO  SOCIO AMBIENTAL DEL ÁREA EL BAGRE",040-16001,Por la cual se adopta una decisión,09/09/2011 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-5,Archivado,Jurídica,Privada,Puerto Berrío,Permiso de estudio para microcuenca Rio Nus,160ZF-1604-8057,Por la cual se traspasa un permiso,04/28/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-35,Activo,Natural,-No aplica-,Pueblorrico,PROYECTO PEQUEÑAS CENTRALES HIDROELÉCTRICAS EN EL RIO SAN JUAN,160-1605-22210,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,05/17/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2023-10,Activo,Jurídica,Privada,San José De La Montaña,MONITOREOS DE FAUNA EN LA PEQUEÑA CENTRAL HIDROELÉCTRICA DE SAN JOSE DE LA MONTAÑA,160-RES2308-3921,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,08/09/2023 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2022-8,Activo,Jurídica,Privada,Zaragoza,Permiso de estudio para la recolección de especímenes silvestres de la diversidad biológica en el marco de estudios ambientales. Título Minero KD1-14151,160-RES2203-1716,Por la cual se inadmite una solicitud,03/28/2022 12:00:00 AM
Citará,Recursos naturales,CI2-2010-8,Archivado,Jurídica,Privada,Jardín,DESARROLLO HIDROELÉCTRICO EL JARDÍN,130CI-1102-7143,Por la cual se niega un permiso de estudio,02/16/2011 12:00:00 AM
Citará,Recursos naturales,CI2-2016-8,Archivado,Natural,-No aplica-,Jardín,PCH DOJURGO,160CI-1605-12903,Por la cual se otorga un permiso para el estudio de recursos naturales,05/12/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2022-19,Activo,Jurídica,Privada,El Bagre,PERMISO DE ESTUDIO DE RECOLECCIÓN,160-RES2212-7361,Por la cual se otorga un permiso,12/07/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2016-6,Archivado,Natural,-No aplica-,Andes,PCH SAN PEDRO,160-RES1706-2804,Por la cual se archiva un expediente,06/05/2017 12:00:00 AM
Citará,Recursos naturales,CI2-2011-1,Archivado,Natural,-No aplica-,Jardín,PROYECTO HIDROELECTRICO DOJURGO,130CI-1206-8552,Por la cual se inadmite una solicitud,06/13/2012 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-19,Activo,Jurídica,Privada,Andes,EFECTOS DE LA DEFORESTACIÓN EN LOS RANGOS ALTITUDINALES SOBRE LOS VERTEBRADOS DEL CORREDOR BIOLÓGICO TATAMA CERRO-CARAMANTA EN LOS ANDES OCCIDENTALES,160-1505-20863,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,05/07/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-8,Archivado,Jurídica,Privada,Amalfi,IDENTIFICACION DE ESPECIES AMENAZADAS ENDÉMICAS O EN VEDA,160-1405-19448,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,05/23/2014 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2011-4,Archivado,,,Gómez Plata,PROYECTO HIDROELÉCTRICO QUEBRADA EL TRAPICHE,130TH-1207-9289,Por la cual se otorga un permiso para el estudio de recursos naturales,07/25/2012 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2012-1,Archivado,Jurídica,Privada,Tarazá,Recurso Hídrico Río Rayo,130PZ-1210-2236,Por la cual se otorga un permiso para el estudio de recursos naturales,10/08/2012 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-15,Archivado,Jurídica,Privada,Anorí,INVENTARIO Y PLAN DE APROVECHAMIENTO FORESTAL PROYECTO LÍNEA DE TRASMISIÓN DE ENERGÍA ANORÍ-ZARAGOZA-EL BAGRE,160-1601-21741,Por la cual se archiva un expediente,01/08/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2017-59,Activo,Jurídica,Privada,Titiribí,LICENCIA AMBIENTAL,160-RES2212-7626,Por la cual se archiva un expediente,12/16/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2012-17,Archivado,Jurídica,Pública,Heliconia,CALIDAD HIDROBIOLÓGICA DEL AGUA DE ACUERDO A LA ESTRUCTURA Y COMPOSICION DE LOS MACROINVERTEBRADOS BÉNDICOS DE LA QUEBRADA LA MORROS,160-1605-22243,Por la cual se acepta un desistimiento tácito,05/23/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-22,Archivado,Jurídica,Privada,Angostura,Desarrollo Hidroeléctrico La Vega,130TH-1103-8110,Por la cual se otorga un permiso para el estudio de recursos naturales,03/22/2011 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2018-5,Archivado,Natural,-No aplica-,Liborina,PCH QUEBRADA LA PORQUERA,160HX-RES2105-3036,Por la cual se archiva un expediente,05/28/2021 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-7,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO HIDROELÉCTRICO AGUACATAL (RÍO POBLANCO),130CA-1306-7915,Por la cual se archiva un expediente,06/14/2013 12:00:00 AM
Cartama,Recursos naturales,CA2-2010-7,Archivado,Jurídica,Privada,Santa Bárbara,PROYECTO HIDROELÉCTRICO AGUACATAL (RÍO POBLANCO),130CA-1306-7915,Por la cual se archiva un expediente,06/14/2013 12:00:00 AM
Citará,Recursos naturales,CI2-2014-7,Archivado,Natural,-No aplica-,Hispania,PCH EL LIMÓN,160CI-1604-12816,Por la cual se archiva un expediente,04/11/2016 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-14,Archivado,Jurídica,Privada,Puerto Berrío,HIDROELÉCTRICO LA ZULIA,130ZF-1301-5701,Por la cual se adopta una decisión,01/11/2013 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2019-27,Archivado,Jurídica,Privada,Angelópolis,Solicitud de permiso de estudio del recurso hídrico con el fin de evaluar la viabilidad de generación hidroeléctrica,160AS-RES1912-7681,Por la cual se otorga un plazo adicional,12/18/2019 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2008-39,Archivado,Jurídica,Privada,Ituango,DESARROLLO HIDROELÉCTRICO EL TAGUAL,130TH-7282,Por la cual se toma una determinación,09/25/2009 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2018-40,Archivado,Jurídica,Privada,Santa Rosa De Osos,PCH,160TH-RES1901-387,Por la cual se inadmite una solicitud,01/30/2019 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-19,Archivado,Jurídica,Privada,Amalfi,DESARROLLO HIDROELÉCTRICO LA CABAÑA,130ZF-1301-5689,Por la cual se adopta una decisión,01/11/2013 12:00:00 AM
Citará,Recursos naturales,CI2-2018-36,Archivado,,,Jardín,CENTRAL HIDROELECTRICA EL OASIS,160CI-RES1903-1094,Por la cual se otorga un permiso para el estudio de recursos naturales,03/04/2019 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-10,Archivado,Jurídica,Privada,Campamento,la esperanza,160TH-RES1711-6053,Por la cual se inadmite una solicitud,11/01/2017 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-10,Archivado,Jurídica,Privada,Campamento,la esperanza,160TH-RES1711-6053,Por la cual se inadmite una solicitud,11/01/2017 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-22,Archivado,Natural,-No aplica-,Puerto Berrío,PEQUEÑA CENTRAL HIDROELÉCTRICA SANTA CRUZ,130ZF-3839,Por la cual se otorga un permiso de estudio,01/05/2010 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-13,Archivado,Jurídica,Privada,Caracolí,GENERACIÓN HIDROELÉCTRICA,130ZF-1412-6894,Por la cual se adopta una decisión,12/09/2014 12:00:00 AM
Citará,Recursos naturales,CI2-2014-8,Archivado,Natural,-No aplica-,Jardín,´PCH DOJURO,160CI-1604-12815,Por la cual se archiva un expediente,04/11/2016 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2019-23,Activo,Natural,-No aplica-,Vegachí,PROYECTO HIDROELÉCTRICO EN LA CUENCA DEL RÍO VOLCÁN,160ZF-RES2402-371,Por la cual se archiva un expediente,02/02/2024 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2011-1,Archivado,Jurídica,Privada,Yarumal,PERMISO DE ESTUDIO RÍO NECHÍ,160TH-1510-11960,Por la cual se otorga un permiso para el estudio de recursos naturales,10/02/2015 12:00:00 AM
Citará,Recursos naturales,CI2-2016-5,Archivado,Natural,-No aplica-,Hispania,PHC EL LIMON,160CI-1612-13490,Por la cual se adopta una decisión,12/22/2016 12:00:00 AM
Citará,Recursos naturales,CI2-2015-1,Archivado,Jurídica,Privada,Hispania,gas natural fenosa,160CI-1612-13502,Por la cual se resuelve un recurso de reposición,12/22/2016 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-1,Archivado,Jurídica,Pública,Valdivia,Permiso de Estudio Comfluencia Quebrada Valdivia,130PZ-1110-2010,Por la cual se adopta una decisión,10/25/2011 12:00:00 AM
Citará,Recursos naturales,CI2-2006-2,Archivado,Jurídica,Privada,Salgar,EVALUACIÓN DEL POTENCIAL HÍDRICO DEL RÍO BARROSO,130CI-3873,Por la cual se concede un permiso de estudio,10/19/2006 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2020-6,Archivado,Jurídica,Privada,Yolombó,INGENEVO SAS,160ZF-RES2004-1795,Por la cual se otorga un permiso para el estudio de recursos naturales,04/13/2020 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,CAD2-2014-3,Archivado,Jurídica,Privada,San Andrés De Cuerquia,PCH LA CHORRERA,160-1409-19956,Por la cual se otorga un permiso,09/22/2014 12:00:00 AM
Panzenú,Recursos naturales,TH2-2008-3,Archivado,Jurídica,Privada,Yarumal,Generaciòn de Energìa Elèctrica a partir del Caudal de la Quebrada el Oro,130PZ-1211-2295,Por la cual se adopta una decisión,11/20/2012 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2010-4,Archivado,Natural,-No aplica-,Yalí,ESTUDIO RECURSO HIDRICO,130ZF-1409-6745,Por la cual se adopta una decisión,09/30/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2011-15,Archivado,Natural,-No aplica-,Angelópolis,DIVERSIDAD DE MARIPOSAS EN LA RESERVA NATURAL ROMERAL,160-RES1705-2324,Por la cual se archiva un expediente,05/11/2017 12:00:00 AM
Panzenú,Recursos naturales,PZ2-2009-2,Archivado,Natural,-No aplica-,Zaragoza,"Permiso de Estudio Quebrada San Juan Tributario del Río Nechí, Margen Izquierda, entre cotas 50 y 100 msnm.",130PZ-1302-2435,Por la cual se adopta una decisión,02/22/2013 12:00:00 AM
Aburrá Sur,Recursos naturales,AS2-2021-9,Archivado,Jurídica,Privada,Angelópolis,EVALUAR POTENCIAL HIDROELÉCTRICO EN UN TRAMO DEL CAUCE DE LA QUEBRADA LA HORCONA,160AS-RES2205-2466,Por la cual se traspasa un permiso,05/06/2022 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2016-2,Archivado,Jurídica,Privada,San Jerónimo,PCH,160HX-RES1708-4155,Por la cual se otorga un permiso para el estudio de recursos naturales,08/11/2017 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2016-2,Archivado,Jurídica,Privada,San Jerónimo,PCH,160HX-RES1708-4155,Por la cual se otorga un permiso para el estudio de recursos naturales,08/11/2017 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2016-2,Archivado,Jurídica,Privada,San Jerónimo,PCH,160HX-RES1708-4155,Por la cual se otorga un permiso para el estudio de recursos naturales,08/11/2017 12:00:00 AM
Cartama,Recursos naturales,CA2-2012-1,Archivado,Natural,-No aplica-,Támesis,P.C.H BRISAS DEL RÍO CLARO,130CA-1309-8040,Por la cual se resuelve un recurso de reposición,09/17/2013 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-14,Archivado,,,Puerto Berrío,DESARROLLO HIDROELÉCTRICO EL ZULIA,130ZF-3823,Por la cual se otorga un permiso de estudio,12/24/2009 12:00:00 AM
Citará,Recursos naturales,CI2-2014-12,Archivado,Jurídica,Privada,Andes,PCH SAN FRANCISCO,130CI-1411-11229,Por la cual se archiva un expediente,11/11/2014 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-3,Archivado,Natural,-No aplica-,Vegachí,pch el pescado,160ZF-1612-8423,Por la cual se archiva un expediente,12/21/2016 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2015-3,Activo,Natural,-No aplica-,Yalí,PEQUEÑA CENTRAL HIDROELÉCTRICA EL VOLCÁN,160ZF-RES2105-2838,Por la cual se prorroga un permiso,05/19/2021 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2014-10,Archivado,Jurídica,Privada,Angostura,PROYECTO HIDROELECTRICO PCH RIO TENCHE,160TH-1503-11594,Por la cual se inadmite una solicitud,03/19/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2013-11,Archivado,Jurídica,Privada,San Andrés De Cuerquia,PCH LA GLORIA,160-1411-20338,Por la cual se prorroga un permiso,11/28/2014 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-15,Archivado,Jurídica,Privada,Yalí,PCH LA GUAIRA,130ZF-1411-6836,Por la cual se rechaza un recurso de reposición,11/24/2014 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2010-6,Archivado,Jurídica,Privada,Jardín,CARACTERIZACIÓN DE LA BIODIVERSIDAD DE LA RESERVA NATURAL DE LAS AVES LORO AREJIAMARILLO,040-14615,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,12/15/2010 12:00:00 AM
Citará,Recursos naturales,CI2-2016-12,Archivado,Jurídica,Privada,Ciudad Bolívar,permiso para estudio del recurso hidrico quebrada la Sucre,160CI-1612-13485,Por la cual se resuelve un recurso de reposición,12/22/2016 12:00:00 AM
Hevéxicos,Recursos naturales,HX2-2024-13,Activo,Jurídica,Privada,Santa Fé De Antioquia,PEQUEÑA CENTRAL HIDROELECTRICA PCH SALTO 2,,,
Zenufaná,Recursos naturales,ZF2-2004-1,Archivado,Jurídica,Pública,Puerto Berrío,"Busqueda de antiparasitarios dela flora colombiana, Lesihmaiosis y Chagas",130ZF-1201-4930,Por la cual se adopta una decisión,01/24/2012 12:00:00 AM
