Territorial,Tipo Estudio,Expediente,Estado,Naturaleza,Clase de empresa,Municipio,Nombre proyecto,Resolución,Descriptor,Fecha resolución
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-17,Archivado,Natural,-No aplica-,Caldas,INVENTARIO DE LA AVIFAUNAE IDENTIFICACION DE ESPECIES FOCALES E INDICADORAS DEL REFUGIO DE LA VIDA SILVESTRE Y PARQUE ECOLÓGICO RECREATIVO ALTO DE SAN MIGUEL,160-1607-22487,Por la cual se archiva un expediente,07/07/2016 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2014-13,Archivado,Jurídica,Pública,Santa Fé De Antioquia,MARCO DE RECOLECCION DE ESPECIMENES DE ESPECIES SILVESTRES DE LA DIVERSIDAD BIOLOGICA,160-1503-20722,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,03/09/2015 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2015-29,Activo,Jurídica,Privada,Valparaíso,METODOLOGÍAS PARA LA RECOLECCIÓN DE ESPECÍMENES Y MUESTRAS DE LA BIODIVERSIDAD,160-1602-21851,Por la cual se otorga un permiso de estudio de investigación cientifica en diversidad biologica,02/10/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-1,Archivado,Jurídica,Privada,Ituango,GENERACION HIDROELECTRICA,160TH-1608-12813,Por la cual se otorga un permiso para el estudio de recursos naturales,08/24/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2016-1,Archivado,Jurídica,Privada,Ituango,GENERACION HIDROELECTRICA,160TH-1608-12813,Por la cual se otorga un permiso para el estudio de recursos naturales,08/24/2016 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2019-14,Activo,,,Santa Rosa De Osos,Solicitud de permiso para el estudio del recurso hídrico Quebrada Chilimaco,160TH-RES2402-653,Por la cual se niega una prorroga,02/22/2024 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,SR2-2017-4,Activo,Jurídica,Privada,Amalfi,ELABORACION DE ESTUDIOS AMBIENTALES,160-RES2212-7629,Por la cual se archiva un expediente,12/16/2022 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2008-11,Archivado,,,Amalfi,DESARROLLO HIDROELÉCTRICO LA BODEGA,130ZF-3582,Por la cual se niega un permiso de estudio,07/09/2009 12:00:00 AM
Citará,Recursos naturales,CI2-2017-68,Archivado,Jurídica,Pública,Salgar,PCH RIO BARROSO,160CI-RES1803-1384,Por la cual se otorga un permiso para el estudio de recursos naturales,03/22/2018 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-9,Archivado,Natural,-No aplica-,Remedios,pequeña central hidroélectrica Rio El pescado,160ZF-RES1907-3548,Por la cual se resuelve un recurso de reposición,07/11/2019 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2014-9,Archivado,Natural,-No aplica-,Remedios,pequeña central hidroélectrica Rio El pescado,160ZF-RES1907-3548,Por la cual se resuelve un recurso de reposición,07/11/2019 12:00:00 AM
Zenufaná,Recursos naturales,ZF2-2013-15,Archivado,Jurídica,Privada,Yalí,PCH LA GUAIRA,160ZF-RES1901-77,Por la cual se archiva un expediente,01/11/2019 12:00:00 AM
Aburrá Norte,Recursos naturales,AN2-2009-4,Archivado,Natural,-No aplica-,Barbosa,DETERMINACION MOLECULAR DE PARAGONIMUS,160AN-RES2205-2797,Por la cual se declara el desistimiento tácito,05/20/2022 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,CAD2-2011-20,Archivado,Jurídica,Privada,Caldas,CATALOGO DIGITAL DE LA FLORA DEL REFUGIO DE VISA SILVESTRE Y PARQUE ECOLOGICO RECREATIV ALTO DE SAN MIGUEL,040-1112-16242,Por la cual se niega un permiso de estudio de investigación cientifica en diversidad biologica,10/03/2017 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 1376 - Biodiversidad investigación científica,SR2-2017-30,Archivado,Natural,-No aplica-,Santa Rosa De Osos,INVESTIGACION CIENTIFICA,,,
Citará,Recursos naturales,CI2-2016-4,Archivado,Jurídica,Privada,Ciudad Bolívar,ESTUDIO  HIDROELECTRICO,160CI-1610-13262,Por la cual se inadmite una solicitud,10/13/2016 12:00:00 AM
Citará,Recursos naturales,CI2-2016-4,Archivado,Jurídica,Privada,Ciudad Bolívar,ESTUDIO  HIDROELECTRICO,160CI-RES1706-3212,Por la cual se otorga un permiso para el estudio de recursos naturales,06/28/2017 12:00:00 AM
Subdirección De Sostenibilidad Y Gestión Territorial,Dec. 3016 - Biodiversidad para estudios ambientales,CAD2-2014-1,Archivado,Jurídica,Privada,Caramanta,"ESTUDIO TÉCNICO , AMBIENAL ,SOCIAL Y ECONÓMICO DE SOPORTE PARA LA VIABILIZACIÓN DEL PROYECTO EXPLORATORIO DE SOLVISTA EN LAS AREAS SUPERPUESTAS CON EL DMI CUCHILLA JARDÍN - TAMESIS",160-1409-19957,Por la cual se niega un permiso de estudio de investigación cientifica en diversidad biologica,09/22/2014 12:00:00 AM
Tahamíes,Recursos naturales,TH2-2014-12,Archivado,Jurídica,Privada,Guadalupe,PROYECTO HIDROELCTRICO PCH RIO GUADALUPE,160TH-1601-12441,Por la cual se termina anticipadamente un trámite o permiso,01/18/2016 12:00:00 AM
