Territorial,Expediente,Estado,Naturaleza,Clase de Empresa,Municipio,Corregimiento,Vereda,Actividad,Resolución,Descriptor,Fecha Resolución
Aburrá Sur,AS6-2005-1,Activo,Jurídica,Privada,Amagá,No registrado,Piedecuesta,Descargas Atmosféricas por chimeneas o ductos (industriales),160AS-RES2001-273,Por la cual se prorroga un permiso,20/01/2020
Zenufaná,ZF6-2009-8,Archivado,Natural,-No aplica-,Segovia,No registrado,No registrada,Industrial,130ZF-1201-4889,Por la cual se adopta una decisión,18/01/2012
Zenufaná,ZF6-2020-4,Archivado,Jurídica,Privada,Puerto Berrío,No registrado,Dorado Calamar,Industrial,160ZF-RES2312-6359,Por la cual se archiva un expediente,04/12/2023
Zenufaná,ZF6-2011-3,Archivado,Jurídica,Privada,Caracolí,No registrado,Botijas,Quemas abiertas controladas en zonas rurales,130ZF-1208-5346,Por la cual se otorga un permiso,15/08/2012
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES2010-5735,"Por la cual se modifica un permiso, concesión o autorización",07/10/2020
Aburrá Sur,AS6-1996-3,Archivado,Jurídica,Privada,Caldas,No registrado,Mani Del Cardal,Quemas abiertas controladas en zonas rurales,130AS-277,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,28/04/1999
Panzenú,PZ6-2013-3,Activo,Jurídica,Privada,Caucasia,No registrado,No registrada,Producción de lubricantes y combustibles,160PZ-RES2412-5747,Por la cual se otorga el certificado en materia de revisión de gases,20/12/2024
Tahamíes,TH6-1996-123,Archivado,Jurídica,Privada,Yarumal,Llanos De Cuiva,No registrada,Industrial,130TH-1209-9367,Por la cual se niega una prorroga,03/09/2012
Zenufaná,ZF6-2007-5,Activo,Jurídica,Publica,Puerto Nare,La Sierra,No registrada,Operación de plantas termoeléctricas,160ZF-RES2311-5971,Por la cual se adopta una decisión,20/11/2023
Zenufaná,ZF6-2008-2,Archivado,Jurídica,Privada,Amalfi,No registrado,La Víborita,Emisiones de contaminantes por explotación minera,130ZF-1205-5152,Por la cual se adopta una decisión,11/05/2012
Aburrá Norte,AN6-2003-2,Activo,Jurídica,Privada,Medellín,San Cristobal,La Loma,Explotación minera,130AN-1210-13500,Por la cual se cambia de solicitante,08/10/2012
Zenufaná,ZF6-2014-2,Archivado,Jurídica,Privada,Segovia,No registrado,No registrada,Descargas Atmosféricas por chimeneas o ductos(servicio),130ZF-1412-6901,Por la cual se adopta una decisión,10/12/2014
Aburrá Norte,AN6-1996-108,Archivado,Jurídica,Privada,Copacabana,No registrado,Ancón 2,Industrial,130AN-1965,Por la cual se prorroga un permiso de emisiones atmosféricas para fuentes fijas,19/02/2004
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES2405-2079,Por la cual se archiva un expediente,31/05/2024
Hevéxicos,HX6-2014-2,Archivado,Jurídica,Privada,Santa Fé De Antioquia,No registrado,No registrada,Procesos susceptibles de producir emisiones de sust. tóxicas,160HX-RES1906-3127,Por la cual se adopta una decisión,18/06/2019
Tahamíes,TH6-2019-14,Activo,Jurídica,Privada,Santa Rosa De Osos,No registrado,No registrada,Procesos o actividades susceptibles de producir misiones de,160TH-RES2306-2517,Por la cual se adopta una decisión,05/06/2023
Aburrá Norte,AN6-1996-108,Archivado,Jurídica,Privada,Copacabana,No registrado,Ancón 2,Industrial,130AN-148,Por la cual se otorga un permiso de emisiones atmosféricas para fuentes fijas,27/01/1999
Cartama,CA6-2015-2,Archivado,Jurídica,Privada,Venecia,No registrado,Sinifaná,Industrial,160CA-RES1912-7995,Por la cual se rechaza un recurso de reposición,26/12/2019
Zenufaná,ZF6-2012-1,Archivado,Jurídica,Privada,Amalfi,No registrado,No registrada,Quemas abiertas controladas en zonas rurales,130ZF-1402-6408,Por la cual se archiva un expediente,26/02/2014
Aburrá Sur,AS6-2009-1,Archivado,Jurídica,Privada,La Estrella,No registrado,No registrada,Operación de calderas,160AS-RES1903-1291,Por la cual se archiva un expediente,12/03/2019
Tahamíes,TH6-1996-19,Archivado,Jurídica,Privada,San Pedro De Los Milagros,No registrado,No registrada,Industrial,130TH-1203-8895,Por la cual se niega una prorroga,15/03/2012
Aburrá Norte,AN6-2014-4,Activo,Jurídica,Privada,Medellín,Altavista,No registrada,Descargas Atmosféricas por chimeneas o ductos (industriales),160AN-RES2312-6765,Por la cual se otorga un permiso,19/12/2023
