Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Hevéxicos,HX8-2009-7,07/31/2017 12:00:00 AM,Archivado,Jurídica,Pública,Caicedo,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-12,03/27/2015 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2018-23,09/15/2020 12:00:00 AM,Archivado,,,Santa Fé De Antioquia,Gaviones,Permanente
Aburrá Norte,AN8-2013-21,10/15/2014 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-40,04/27/2018 12:00:00 AM,Archivado,Jurídica,Pública,Bello,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2011-40,06/21/2024 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-124,06/11/2021 12:00:00 AM,Activo,Jurídica,Privada,Barbosa,Cobertura Circular,Permanente
Zenufaná,ZF8-2023-68,06/13/2024 12:00:00 AM,Activo,Jurídica,Privada,Segovia,Otras Obras y Construcciones,Provisional
Secretaría Ambiental De Envigado,SAE8-2021-92,01/31/2022 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2018-114,08/05/2020 12:00:00 AM,Activo,Natural,-No aplica-,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2006-34,08/13/2020 12:00:00 AM,Archivado,Jurídica,Pública,Bello,Muro contención en concreto,Permanente
Zenufaná,ZF8-2006-1,02/02/2010 12:00:00 AM,Archivado,Jurídica,Privada,Puerto Berrío,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-32,04/26/2016 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Panzenú,PZ8-2015-63,11/10/2021 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Tahamíes,TH8-2017-92,12/22/2022 12:00:00 AM,Archivado,Jurídica,Pública,Donmatías,Puente,Permanente
Secretaría Ambiental De Envigado,SAE8-2014-24,03/06/2015 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Cartama,CA8-2008-11,11/25/2010 12:00:00 AM,Archivado,Jurídica,Privada,Jericó,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-20,05/11/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Provisional
Cartama,CA8-2012-10,12/16/2013 12:00:00 AM,Archivado,Jurídica,Privada,Caramanta,Otras Obras y Construcciones,Provisional
