Territorial,Expediente,Fecha resolución,Estado,Naturaleza,Clase de empresa,Municipio,Tipo Obra,Tipo Ocupación
Aburrá Sur,AS8-2016-18,11/29/2022 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-9,11/23/2020 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Muro contención en concreto,Permanente
Citará,CI8-2015-11,04/06/2016 12:00:00 AM,Archivado,Jurídica,Pública,Salgar,Alcantarillado,Permanente
Zenufaná,ZF8-2019-52,08/30/2019 12:00:00 AM,Archivado,Natural,-No aplica-,Puerto Berrío,Canalización Trapezoidal,Provisional
Hevéxicos,HX8-2023-37,02/07/2024 12:00:00 AM,Activo,Jurídica,Pública,San Jerónimo,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2008-10,12/29/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Caldas,Cobertura en Cajón,Permanente
Hevéxicos,HX8-2024-33,09/06/2024 12:00:00 AM,Activo,Jurídica,Privada,San Jerónimo,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2022-73,11/21/2022 12:00:00 AM,Archivado,Natural,-No aplica-,Barbosa,Puente,Permanente
Aburrá Norte,AN8-2014-43,10/11/2019 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Gaviones,Permanente
Panzenú,PZ8-2015-17,05/06/2016 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Puente,Provisional
Aburrá Norte,AN8-1998-61,07/18/2022 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Puente,Permanente
Hevéxicos,HX8-2014-15,07/23/2015 12:00:00 AM,Archivado,Jurídica,Pública,Sabanalarga,Canalización en U,Permanente
Aburrá Norte,AN8-2022-58,11/19/2024 12:00:00 AM,Activo,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-1,12/05/2024 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2023-12,05/30/2023 12:00:00 AM,Activo,,,Envigado,Alcantarillado,Permanente
Aburrá Norte,AN8-2021-102,11/18/2022 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2006-14,12/13/2023 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Cobertura Circular,Permanente
Cartama,CA8-2011-6,04/13/2012 12:00:00 AM,Archivado,Jurídica,Privada,Tarso,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2012-44,03/23/2018 12:00:00 AM,Archivado,Natural,-No aplica-,Copacabana,Puente,Permanente
Aburrá Norte,AN8-2002-4,02/22/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Canalización Triangular o en V,Permanente
Aburrá Norte,AN8-2013-14,08/27/2013 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2005-14,04/01/2008 12:00:00 AM,Activo,Natural,-No aplica-,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-116,05/29/2023 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2014-75,07/28/2021 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-24,05/04/2018 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2023-47,11/15/2023 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2015-22,09/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Copacabana,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2004-26,05/10/2005 12:00:00 AM,Archivado,Natural,-No aplica-,Bello,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2014-17,08/14/2019 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-101,01/17/2022 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Hevéxicos,HX8-2020-32,03/11/2021 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Canalización Trapezoidal,Permanente
Panzenú,PZ8-2017-80,06/13/2019 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura Circular,Permanente
Tahamíes,TH8-2015-9,09/23/2015 12:00:00 AM,Archivado,Jurídica,Pública,Entrerríos,Puente,Provisional
Aburrá Sur,AS8-2005-11,01/17/2007 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Gaviones,Permanente
Zenufaná,ZF8-2014-2,02/18/2016 12:00:00 AM,Archivado,Jurídica,Privada,Puerto Berrío,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-64,06/30/2011 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2011-16,08/16/2019 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Muro contención en concreto,Permanente
Secretaría Ambiental De Envigado,SAE8-2019-101,05/02/2023 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2005-10,03/03/2006 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2014-13,09/03/2015 12:00:00 AM,Archivado,Jurídica,Privada,Amalfi,Desvio de Corriente,Permanente
Secretaría Ambiental De Envigado,SAE8-2014-8,05/29/2015 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Aburrá Norte,AN8-2010-13,08/23/2010 12:00:00 AM,Archivado,Natural,-No aplica-,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2019-56,11/24/2022 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2019-46,06/12/2019 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Canalización en U,Permanente
Cartama,CA8-2017-88,06/22/2022 12:00:00 AM,Archivado,Jurídica,Pública,Valparaíso,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2003-11,02/18/2008 12:00:00 AM,Archivado,Natural,-No aplica-,Barbosa,Puente,Permanente
Tahamíes,TH8-2008-1,07/07/2009 12:00:00 AM,Activo,Jurídica,Privada,Gómez Plata,Alcantarillado,Permanente
Aburrá Norte,AN8-2013-37,02/24/2014 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2016-25,05/26/2017 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Citará,CI8-2013-6,05/11/2018 12:00:00 AM,Archivado,Natural,-No aplica-,Andes,Puente,Provisional
Zenufaná,ZF8-2013-3,09/25/2013 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Puente,Permanente
Zenufaná,ZF8-2016-11,12/06/2019 12:00:00 AM,Archivado,Jurídica,Privada,Yondó,Gaviones,Permanente
Aburrá Norte,AN8-2011-6,07/19/2011 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-7,10/27/2014 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2012-12,12/21/2021 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2017-24,03/16/2023 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2010-1,11/30/2010 12:00:00 AM,Archivado,Jurídica,Privada,El Bagre,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2023-120,08/30/2024 12:00:00 AM,Activo,Jurídica,Pública,Caucasia,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2017-46,09/11/2018 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2013-4,09/12/2014 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Gaviones,Permanente
Aburrá Sur,AS8-2018-79,02/08/2019 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2006-18,03/18/2020 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2018-101,09/04/2023 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Otras Obras y Construcciones,Provisional
Hevéxicos,HX8-2014-7,01/29/2016 12:00:00 AM,Archivado,Jurídica,Pública,Santa Fé De Antioquia,Canalización en U,Permanente
Aburrá Norte,AN8-2014-42,06/27/2017 12:00:00 AM,Activo,Natural,-No aplica-,Copacabana,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-53,04/01/2014 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Provisional
Cartama,CA8-2006-4,01/22/2007 12:00:00 AM,Archivado,Jurídica,Pública,Fredonia,Cobertura Abovedada,Permanente
Hevéxicos,HX8-2011-20,04/16/2012 12:00:00 AM,Archivado,Jurídica,Pública,Sopetrán,Puente,Permanente
Panzenú,PZ8-2015-68,04/26/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Cartama,CA8-2022-35,10/05/2022 12:00:00 AM,Archivado,Jurídica,Privada,Venecia,Muro contención en concreto,Permanente
Aburrá Sur,AS8-2011-29,09/24/2019 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Cobertura Circular,Permanente
Aburrá Sur,AS8-2006-9,07/13/2006 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Cobertura Circular,Permanente
Aburrá Norte,AN8-2008-15,12/06/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-79,01/14/2022 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2011-20,08/14/2012 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Alcantarillado,Permanente
Aburrá Sur,AS8-2007-20,12/28/2022 12:00:00 AM,Archivado,Jurídica,Privada,Sabaneta,Cobertura Circular,Permanente
Aburrá Sur,AS8-2007-15,06/06/2008 12:00:00 AM,Archivado,Jurídica,Privada,Sabaneta,Cobertura en Cajón,Permanente
Hevéxicos,HX8-1999-12,12/20/2002 12:00:00 AM,Archivado,Natural,-No aplica-,Sopetrán,Desvio de Corriente,Permanente
Zenufaná,ZF8-2018-140,06/18/2019 12:00:00 AM,Archivado,Jurídica,Privada,Segovia,Canalización Trapezoidal,Provisional
Aburrá Sur,AS8-2017-34,10/06/2022 12:00:00 AM,Archivado,Jurídica,Pública,Caldas,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2007-3,07/19/2011 12:00:00 AM,Archivado,Jurídica,Pública,Yarumal,Otras Obras y Construcciones,Provisional
Tahamíes,TH8-2011-4,07/31/2015 12:00:00 AM,Archivado,Jurídica,Privada,Angostura,Canalización en U,Permanente
Cartama,CA8-2012-12,08/26/2014 12:00:00 AM,Activo,Jurídica,Pública,Fredonia,Gaviones,Permanente
Aburrá Norte,AN8-2004-18,03/03/2022 12:00:00 AM,Archivado,Jurídica,Privada,Bello,Gaviones,Permanente
Aburrá Norte,AN8-1999-14,05/27/2011 12:00:00 AM,Archivado,Natural,-No aplica-,Barbosa,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2022-84,02/23/2023 12:00:00 AM,Activo,Jurídica,Privada,Remedios,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2019-54,07/19/2019 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-14,12/19/2022 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Puente,Permanente
Secretaría Ambiental De Envigado,SAE8-2019-88,07/09/2021 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2020-56,02/12/2021 12:00:00 AM,Archivado,Jurídica,Privada,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-4,01/12/2016 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2013-36,02/23/2016 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2016-2,11/30/2016 12:00:00 AM,Activo,Jurídica,Pública,Belmira,Gaviones,Permanente
Aburrá Norte,AN8-2012-42,12/22/2014 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Gaviones,Permanente
Panzenú,PZ8-2010-11,12/27/2022 12:00:00 AM,Activo,Natural,-No aplica-,Cáceres,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2013-51,09/07/2016 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2005-14,03/05/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-30,10/25/2022 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2023-58,08/08/2023 12:00:00 AM,Activo,Jurídica,Pública,Ituango,Puente,Permanente
Aburrá Norte,AN8-2008-8,10/20/2008 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Cobertura Circular,Permanente
Cartama,CA8-2005-1,11/21/2024 12:00:00 AM,Activo,Jurídica,Privada,Támesis,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2021-76,09/29/2021 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Canalización en U,Permanente
Aburrá Norte,AN8-2014-72,04/14/2015 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-13,06/20/2016 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Cobertura en Cajón,Permanente
Cartama,CA8-2006-1,07/19/2010 12:00:00 AM,Archivado,Natural,-No aplica-,Támesis,Cobertura en Cajón,Permanente
Cartama,CA8-2012-4,03/06/2017 12:00:00 AM,Archivado,Jurídica,Privada,Tarso,Puente,Permanente
Aburrá Norte,AN8-2011-44,07/29/2014 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2020-41,08/10/2021 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2019-87,07/02/2021 12:00:00 AM,Archivado,Jurídica,Privada,Caldas,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2010-45,12/06/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2005-3,01/29/2007 12:00:00 AM,Archivado,Natural,-No aplica-,La Pintada,Otras Obras y Construcciones,Permanente
Citará,CI8-2020-75,12/29/2020 12:00:00 AM,Archivado,Jurídica,Privada,Betania,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2016-8,11/21/2022 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2019-54,07/08/2020 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2013-17,12/22/2015 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2015-63,06/05/2018 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2018-67,01/14/2019 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2012-7,02/13/2013 12:00:00 AM,Activo,Jurídica,Privada,Tarso,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2015-22,12/24/2015 12:00:00 AM,Archivado,Natural,-No aplica-,Amalfi,Desvio de Corriente,Permanente
Aburrá Norte,AN8-2018-8,09/26/2024 12:00:00 AM,Activo,Jurídica,Privada,Bello,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2018-108,06/03/2021 12:00:00 AM,Archivado,Jurídica,Privada,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2011-29,02/29/2016 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Cobertura Circular,Permanente
Zenufaná,ZF8-2012-5,09/19/2012 12:00:00 AM,Archivado,Jurídica,Privada,Remedios,Puente,Permanente
Aburrá Sur,AS8-2021-109,12/09/2021 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2019-34,09/15/2020 12:00:00 AM,Activo,Jurídica,Privada,Caucasia,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2010-9,09/28/2011 12:00:00 AM,Activo,Jurídica,Privada,Zaragoza,Gaviones,Permanente
Aburrá Norte,AN8-2021-71,11/09/2021 12:00:00 AM,Archivado,Natural,-No aplica-,Barbosa,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2019-38,10/08/2019 12:00:00 AM,Activo,Jurídica,Pública,Caucasia,Otras Obras y Construcciones,Provisional
Tahamíes,TH8-2012-6,03/21/2014 12:00:00 AM,Archivado,Jurídica,Privada,Yarumal,Alcantarillado,Permanente
Aburrá Sur,AS8-2006-15,06/14/2013 12:00:00 AM,Archivado,Natural,-No aplica-,La Estrella,Desvio de Corriente,Permanente
Zenufaná,ZF8-2021-35,07/14/2021 12:00:00 AM,Archivado,Jurídica,-No aplica-,Cisneros,Otras Obras y Construcciones,Permanente
Zenufaná,ZF8-2016-13,11/28/2018 12:00:00 AM,Activo,Jurídica,Privada,Segovia,Canalización Trapezoidal,Permanente
Panzenú,PZ8-2021-79,10/05/2021 12:00:00 AM,Activo,Jurídica,Privada,Valdivia,Canalización Triangular o en V,Permanente
Aburrá Norte,AN8-2013-13,08/19/2014 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2015-5,02/29/2016 12:00:00 AM,Activo,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2000-6,01/28/2013 12:00:00 AM,Archivado,Natural,-No aplica-,Ebéjico,Represa,Permanente
Aburrá Norte,AN8-2006-3,12/15/2006 12:00:00 AM,Archivado,Natural,-No aplica-,Barbosa,Represa,Permanente
Hevéxicos,HX8-2012-9,11/12/2013 12:00:00 AM,Archivado,Natural,-No aplica-,Santa Fé De Antioquia,Espolones,Permanente
Aburrá Norte,AN8-2016-6,06/22/2023 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2017-22,03/02/2021 12:00:00 AM,Archivado,Jurídica,Pública,Copacabana,Otras Obras y Construcciones,Permanente
Cartama,CA8-2017-42,08/29/2017 12:00:00 AM,Archivado,Natural,-No aplica-,Fredonia,Puente,Permanente
Secretaría Ambiental De Envigado,SAE8-2015-8,11/24/2020 12:00:00 AM,Activo,Jurídica,Privada,Envigado,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2020-64,03/12/2021 12:00:00 AM,Activo,Jurídica,Privada,Caldas,Puente,Provisional
Panzenú,PZ8-2015-62,07/13/2021 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Citará,CI8-2013-1,10/16/2013 12:00:00 AM,Archivado,Jurídica,Privada,Salgar,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2014-80,03/27/2017 12:00:00 AM,Archivado,Jurídica,Pública,Girardota,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2014-3,02/11/2016 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2015-5,10/17/2017 12:00:00 AM,Activo,Jurídica,Pública,Fredonia,Canalización Trapezoidal,Provisional
Cartama,CA8-2016-5,03/05/2018 12:00:00 AM,Archivado,Jurídica,Pública,Fredonia,Gaviones,Permanente
Aburrá Norte,AN8-2010-64,11/18/2022 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2013-25,04/15/2020 12:00:00 AM,Archivado,Natural,-No aplica-,Sabaneta,Gaviones,Permanente
Secretaría Ambiental De Envigado,SAE8-2006-9,04/18/2007 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Otras Obras y Construcciones,Permanente
Secretaría Ambiental De Envigado,SAE8-2017-124,12/18/2019 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2007-7,12/20/2022 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Canalización en U,Permanente
Panzenú,PZ8-2018-86,10/19/2018 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura en Cajón,Permanente
Zenufaná,ZF8-2011-2,02/07/2012 12:00:00 AM,Archivado,Natural,-No aplica-,Segovia,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2011-31,10/18/2011 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Canalización Trapezoidal,Permanente
Secretaría Ambiental De Envigado,SAE8-2016-15,07/05/2017 12:00:00 AM,Archivado,Jurídica,Privada,Envigado,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2006-14,03/27/2017 12:00:00 AM,Archivado,Jurídica,Privada,La Estrella,Canalización Trapezoidal,Permanente
Aburrá Sur,AS8-2011-29,12/28/2022 12:00:00 AM,Archivado,Jurídica,Pública,Itaguí,Cobertura Circular,Permanente
Aburrá Norte,AN8-2018-121,07/24/2024 12:00:00 AM,Activo,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2008-24,01/22/2013 12:00:00 AM,Archivado,Jurídica,Privada,Copacabana,Gaviones,Permanente
Aburrá Norte,AN8-2021-75,10/25/2021 12:00:00 AM,Activo,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2018-31,10/10/2022 12:00:00 AM,Archivado,Jurídica,Privada,Sabaneta,Otras Obras y Construcciones,Permanente
Tahamíes,TH8-2011-5,05/31/2012 12:00:00 AM,Archivado,Jurídica,Pública,San Pedro De Los Milagros,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-90,07/02/2021 12:00:00 AM,Activo,Jurídica,Privada,Copacabana,Cobertura Circular,Permanente
Aburrá Norte,AN8-2011-4,04/15/2011 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Desvio de Corriente,Permanente
Panzenú,PZ8-2007-6,02/10/2009 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Canalización Trapezoidal,Permanente
Secretaría Ambiental De Envigado,SAE8-2012-9,02/08/2013 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Panzenú,PZ8-2012-2,11/23/2021 12:00:00 AM,Archivado,Jurídica,Privada,Nechí,Espolones,Permanente
Aburrá Norte,AN8-2020-127,01/04/2022 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Cobertura en Cajón,Permanente
Hevéxicos,HX8-2010-2,01/14/2015 12:00:00 AM,Archivado,Jurídica,Pública,San Jerónimo,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-127,05/29/2023 12:00:00 AM,Archivado,Jurídica,Privada,Barbosa,Cobertura en Cajón,Permanente
Aburrá Norte,AN8-2001-3,12/20/2001 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-18,03/27/2015 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2015-51,06/06/2018 12:00:00 AM,Archivado,Jurídica,Privada,Caucasia,Cobertura Abovedada,Permanente
Aburrá Norte,AN8-2014-30,09/07/2016 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2008-11,08/30/2024 12:00:00 AM,Activo,Jurídica,Pública,Bello,Canalización en U,Permanente
Cartama,CA8-2016-7,08/24/2018 12:00:00 AM,Activo,Jurídica,Privada,Jericó,Puente,Permanente
Cartama,CA8-2013-3,08/20/2013 12:00:00 AM,Archivado,Jurídica,Privada,Venecia,Cobertura en Cajón,Permanente
Cartama,CA8-2019-37,10/29/2021 12:00:00 AM,Activo,Jurídica,Pública,Fredonia,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-1999-5,06/24/2022 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Muro contención en concreto,Permanente
Aburrá Norte,AN8-2010-7,12/20/2021 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Hevéxicos,HX8-2016-7,12/19/2016 12:00:00 AM,Archivado,Jurídica,Pública,Santa Fé De Antioquia,Otras Obras y Construcciones,Permanente
Cartama,CA8-2010-8,06/21/2011 12:00:00 AM,Archivado,Jurídica,Privada,Jericó,Otras Obras y Construcciones,Provisional
Aburrá Sur,AS8-2000-18,08/06/2015 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Cobertura en Cajón,Permanente
Panzenú,PZ8-2015-64,03/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Cobertura en Cajón,Permanente
Cartama,CA8-2017-104,10/31/2017 12:00:00 AM,Activo,Jurídica,Privada,Támesis,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2020-66,12/15/2020 12:00:00 AM,Activo,Jurídica,Pública,Barbosa,Cobertura Circular,Permanente
Aburrá Norte,AN8-2009-33,07/14/2023 12:00:00 AM,Archivado,Jurídica,Privada,Medellín,Otras Obras y Construcciones,Permanente
Cartama,CA8-2023-112,04/22/2024 12:00:00 AM,Activo,Jurídica,Pública,Fredonia,Otras Obras y Construcciones,Permanente
Aburrá Sur,AS8-2016-14,06/30/2017 12:00:00 AM,Archivado,Jurídica,Pública,Envigado,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2020-76,04/08/2021 12:00:00 AM,Archivado,Jurídica,Pública,Medellín,Canalización en U,Permanente
Hevéxicos,HX8-2014-1,11/11/2014 12:00:00 AM,Archivado,Jurídica,Pública,Santa Fé De Antioquia,Cobertura en Cajón,Permanente
Aburrá Sur,AS8-2016-3,08/05/2016 12:00:00 AM,Archivado,Jurídica,Pública,La Estrella,Otras Obras y Construcciones,Provisional
Panzenú,PZ8-2015-8,03/29/2016 12:00:00 AM,Archivado,Jurídica,Privada,Zaragoza,Otras Obras y Construcciones,Provisional
Aburrá Norte,AN8-2016-2,02/23/2017 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2021-87,10/19/2021 12:00:00 AM,Archivado,Jurídica,Pública,Barbosa,Otras Obras y Construcciones,Permanente
Aburrá Norte,AN8-2013-35,04/09/2021 12:00:00 AM,Archivado,Jurídica,Pública,Copacabana,Otras Obras y Construcciones,Permanente
