Expediente,Territorial,Municipio,Naturaleza,Tipo_empresa,Producto,Cantidad,Unidades
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,-1,No registra
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,-1,No registra
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,-1,No registra
ZF5-2022-79,Zenufaná,Amalfi,Jurídica,Privada,Cortezas,-1,No registra
CA5-2024-13,Cartama,Venecia,Natural,-No aplica-,Guadua,100,100
CA5-2014-16,Cartama,Jericó,Jurídica,Publica,No registrado,-1,No registra
ZF5-2020-168,Zenufaná,Vegachí,-No aplica-,No registrado,Astillas,27664,metros cubidos
CI5-2020-30,Citará,Jardín,Natural,-No aplica-,Guadua,70,VARAS
CI5-2020-30,Citará,Jardín,Natural,-No aplica-,Guadua,70,VARAS
CA5-2018-320,Cartama,Valparaíso,Jurídica,Publica,Guadua,-1,No registra
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Astillas,480,ASTILLA
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Astillas,480,ASTILLA
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Astillas,480,ASTILLA
CI5-2022-70,Citará,Salgar,Natural,-No aplica-,Frutos,-1,No registra
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,520,260
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,520,260
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,520,260
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,520,260
ZF5-2008-20,Zenufaná,Amalfi,Natural,-No aplica-,Estipes,520,260
SAE5-2018-200,Secretaría Ambiental De Envigado,Envigado,Natural,-No aplica-,Cortezas,100,AÑOS
ZF5-2020-168,Zenufaná,Vegachí,-No aplica-,No registrado,Astillas,27664,METROS CUBICOS
ZF5-2022-145,Zenufaná,Maceo,Natural,-No aplica-,Guadua,-1,No registra
CI5-2021-250,Citará,Andes,Natural,-No aplica-,Semillas,13570,13570
CA5-2024-119,Cartama,Fredonia,Jurídica,Privada,Guadua,-1,No registra
CA5-2011-7,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,100,guaduas
CA5-2011-7,Cartama,Pueblorrico,Natural,-No aplica-,Guadua,100,guaduas
CA5-2012-4,Cartama,Jericó,Natural,-No aplica-,Guadua,200,200
CI5-2019-373,Citará,Andes,Natural,-No aplica-,Guadua,-1,No registra
CA5-2011-18,Cartama,Támesis,Natural,-No aplica-,Guadua,1500,1500
PZ5-2007-31,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,0,0
PZ5-2007-31,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,0,0
PZ5-2007-31,Panzenú,Caucasia,Natural,-No aplica-,Cortezas,0,0
CA5-2025-37,Cartama,Támesis,Natural,-No aplica-,Guadua,-1,No registra
CI5-2012-3,Citará,Betania,Jurídica,Privada,Guadua,-1,No registra
PZ5-2020-137,Panzenú,Tarazá,Natural,-No aplica-,Astillas,-1,No registra
PZ5-2006-38,Panzenú,Zaragoza,Natural,-No aplica-,Resinas,8000,Kilogramos (algarrobillo)
CA5-2016-11,Cartama,Jericó,Jurídica,Privada,Astillas,-1,No registra
CA5-2022-236,Cartama,Támesis,Jurídica,Privada,Frutos,2.17,10
CI5-2023-156,Citará,Betania,Natural,-No aplica-,Guadua,-1,No registra
