Territorial,Expediente,Naturaleza,Tipo Empresa,Estado,Tipo Proyecto,Municipio
Zenufaná,ZF3-2016-2,Jurídica,Privada,Activo,Construc y operación de C. generadoras con capacidad mayor o igual a 10 MW y menor de 100 MW,Cisneros
Zenufaná,ZF3-2016-3,Jurídica,Privada,Archivado,Construcción y Operación de Centrales Generadoras,Yolombó
Zenufaná,ZF3-2016-4,Jurídica,Pública,Activo,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Puerto Nare
Zenufaná,ZF3-2016-5,Natural,-No aplica-,Archivado,Minería,Amalfi
Zenufaná,ZF3-2016-6,Jurídica,Privada,Archivado,Minería,Segovia
Zenufaná,ZF3-2016-7,Jurídica,Privada,Activo,Construcción y Operación de Centrales Generadoras,Remedios
Zenufaná,ZF3-2016-8,Jurídica,Pública,Archivado,Construcción y operación de rellenos sanitarios,Segovia
Zenufaná,ZF3-2016-9,Natural,-No aplica-,Activo,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Yolombó
Zenufaná,ZF3-2017-1,Jurídica,Privada,Activo,Construc y operación de C. generadoras con capacidad mayor o igual a 10 MW y menor de 100 MW,Puerto Berrío
Zenufaná,ZF3-2017-14,Jurídica,Privada,Archivado,Minería,Remedios
Zenufaná,ZF3-2017-16,Jurídica,Privada,Archivado,Construcción y Operación de Centrales Generadoras,Caracolí
Zenufaná,ZF3-2017-17,Jurídica,Privada,Archivado,Construcción de vías férreas regionales y variantes de estas,Maceo
Zenufaná,ZF3-2017-18,Jurídica,Privada,Archivado,Minería,Puerto Nare
Zenufaná,ZF3-2017-23,Natural,-No aplica-,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Puerto Berrío
Zenufaná,ZF3-2017-24,Natural,-No aplica-,Archivado,Minería,Segovia
Zenufaná,ZF3-2017-30,Natural,-No aplica-,Archivado,Minería,Maceo
Zenufaná,ZF3-2017-31,Natural,-No aplica-,Activo,Minería,Remedios
Zenufaná,ZF3-2017-6,Jurídica,Pública,Archivado,Construcción y operación de rellenos sanitarios,Vegachí
Zenufaná,ZF3-2018-10,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Puerto Berrío
Zenufaná,ZF3-2018-12,Jurídica,Privada,Archivado,Minería,Puerto Berrío
Zenufaná,ZF3-2018-13,Jurídica,Privada,Activo,Minería,Maceo
Zenufaná,ZF3-2018-14,Jurídica,Privada,Activo,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Segovia
Zenufaná,ZF3-2018-21,Jurídica,Pública,Activo,"Tendido de líneas sistema de transmisión conformado por el conjunto de líneas con sus equipos asociados, que operan a tensiones menores de 220 KV y que no pertenecen a un sistema de distribución local",Puerto Nare
Zenufaná,ZF3-2018-25,Natural,-No aplica-,Activo,Minería,Amalfi
Zenufaná,ZF3-2018-27,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Puerto Berrío
Zenufaná,ZF3-2018-30,Natural,-No aplica-,Archivado,Minería,Amalfi
Zenufaná,ZF3-2018-31,Natural,-No aplica-,Activo,Minería,Puerto Berrío
Zenufaná,ZF3-2018-36,Jurídica,Privada,Archivado,Minería,Puerto Berrío
Zenufaná,ZF3-2018-43,Jurídica,Privada,Archivado,Minería,Remedios
Zenufaná,ZF3-2018-44,Jurídica,Privada,Archivado,Minería,Puerto Berrío
Zenufaná,ZF3-2018-5,Jurídica,Privada,Archivado,Minería,Remedios
Zenufaná,ZF3-2018-8,Natural,-No aplica-,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2018-9,Jurídica,Privada,Activo,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Segovia
Zenufaná,ZF3-2019-11,Jurídica,Privada,Activo,Minería,Remedios
Zenufaná,ZF3-2019-24,Jurídica,Pública,Activo,Construc y operación de C. generadoras con capacidad mayor o igual a 10 MW y menor de 100 MW,Remedios
Zenufaná,ZF3-2019-3,Jurídica,Privada,Activo,Minería,Remedios
Zenufaná,ZF3-2019-30,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Amalfi
Zenufaná,ZF3-2019-31,Jurídica,Privada,Archivado,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2019-32,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Puerto Berrío
Zenufaná,ZF3-2019-34,Jurídica,Pública,Activo,Construcción y operación de rellenos sanitarios,Segovia
Zenufaná,ZF3-2019-35,Jurídica,Privada,Archivado,Minería,Puerto Berrío
Zenufaná,ZF3-2019-36,Jurídica,Privada,Archivado,Minería,Segovia
Zenufaná,ZF3-2019-7,Jurídica,Privada,Activo,Explota Metales y piedras preciosas: menor a 2.000.000 de toneladas/año,Segovia
Zenufaná,ZF3-2019-8,Jurídica,Privada,Activo,Otros,Yondó
Zenufaná,ZF3-2020-1,Jurídica,Privada,Activo,"Construcción de carreteras, en la red vial secundaria y terciaria",Maceo
Zenufaná,ZF3-2020-10,Jurídica,Privada,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Puerto Berrío
Zenufaná,ZF3-2020-19,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Puerto Berrío
Zenufaná,ZF3-2020-20,Natural,-No aplica-,Archivado,Minería,Segovia
Zenufaná,ZF3-2020-21,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Yolombó
Zenufaná,ZF3-2020-22,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Amalfi
Zenufaná,ZF3-2020-23,Natural,-No aplica-,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Puerto Berrío
Zenufaná,ZF3-2020-25,Jurídica,Privada,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Yolombó
Zenufaná,ZF3-2020-26,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Vegachí
Zenufaná,ZF3-2020-27,Jurídica,Privada,Archivado,Explota Materiales construcción: menor a 600.000 toneladas/año,Vegachí
Zenufaná,ZF3-2020-28,Natural,-No aplica-,Archivado,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Maceo
Zenufaná,ZF3-2020-3,Jurídica,Privada,Archivado,Minería,Yalí
Zenufaná,ZF3-2020-4,Jurídica,Privada,Activo,Minería,Yalí
Zenufaná,ZF3-2021-17,Jurídica,Privada,Activo,Construcción y Operación de Centrales Generadoras,Caracolí
Zenufaná,ZF3-2021-2,Natural,-No aplica-,Activo,Explota Materiales construcción: menor a 600.000 toneladas/año,Remedios
Zenufaná,ZF3-2021-4,Natural,-No aplica-,Activo,Explota Otros minerales: menor a 1.000.000 de toneladas/año,Remedios
Zenufaná,ZF3-2022-1,Natural,-No aplica-,Activo,Minería,Vegachí
Zenufaná,ZF3-2022-21,Jurídica,Privada,Activo,Minería,Remedios
Zenufaná,ZF3-2022-22,Natural,-No aplica-,Activo,Minería,Puerto Berrío
Zenufaná,ZF3-2022-26,Natural,-No aplica-,Activo,Minería,Yalí
Zenufaná,ZF3-2022-33,Natural,-No aplica-,Activo,Minería,Puerto Berrío
Zenufaná,ZF3-2022-35,Natural,-No aplica-,Activo,Minería,Yalí
Zenufaná,ZF3-2022-36,Jurídica,Privada,Activo,Minería,Segovia
